TEXT	TRANSLATION
"Deleting raster band"	""
"Deleting table"	"Entferne Tabelle"
"Delineated process area with encoded transition frequencies [count]."	""
"Delineated watershed basins"	"eingezeichnete Wassereinzugsgebiete"
"Delivery Index"	""
"Denoised"	""
"Denoised Grid"	""
"Density"	"Dichte"
"Density Index (Pf)."	"Dichteindex (Pf.)"
"Density [Percent]"	"Dichte [Prozent]"
"Density from Neighbourhood"	"Dichte aus Nachbarschaft"
"Dependent"	""
"Dependent Variable"	"abhängige Variable"
"Dependent Variables"	"Abhängige Variablen"
"Dependent on chosen method, these are distances or probabilities."	""
"Dependent on the chosen 'Initiation Grid' and 'Initiation Type' this value controls under which condition a channel is initiated."	"Abhängig von dem gewählten 'Initierungsraster' und 'Initierungstyp' kontrolliert dieser Wert unter welchen Konditionen ein Gewässer initiiert wird."
"Depending on the mode of operation either transport capacity, transport fraction, threshold value or trigger value."	""
"Deposition"	""
"Deposition modelling based on velocity requires an appropriate friction model!"	""
"Deposition modelling requires a material grid as input!"	""
"Depqc"	""
"Depression"	""
"Depression-free digital elevation model"	"Senkenfreies digitales Höhenmodell"
"Depth"	"Tiefe"
"Depth to which data history is stored. Set -1 keeps all history entries (default), 0 switches history option off."	"Tiefe bis zu der die Datengeschichte gespeichert wird. -1 behält alle Einträge (Voreinstellung), 0 schaltet die Funktion ab."
"Der Gerinne- bzw. Hauptgerinneabfluss kann mit dieser Methode fuer Rasterzelle 1 manipuliert werden. "	""
"Der Gerinne- bzw. Hauptgerinneabfluss kann mit dieser Methode fuer Rasterzelle 2 manipuliert werden. "	""
"Derivation of slope lengths from catchment areas. These are rough approximations! Applies not to Desmet & Govers' method."	"Abweichung der Hanglänge vom Einzugsgebiet. Dieses sind grobe Abschätzungen! Entspricht nicht der Methode von Desmet & Govers."
"Derive contour lines."	""
"Describes a polygon's compactness as ratio of its area to its hull's area."	""
"Description"	"Beschreibung"
"Descriptive name for the grid system"	"Anschaulicher Name für das Rastersystem"
"Desert Detection Threshold"	""
"Desired number of points per polygon."	""
"Desmet & Govers"	""
"Desmet & Govers 1996"	""
"Destination Points"	""
"Destinations"	""
"Destriped"	""
"Destriped Grid"	"Gestreiftes Raster"
"Destriping"	""
"Destriping with Mask"	""
"Details"	""
"Details: Coefficients"	""
"Details: Model"	""
"Details: Steps"	""
"Detected pit cells"	""
"Detector type"	"Detectortyp"
"Determination"	""
"Determination Coefficient"	""
"Determines how the graticule is aligned to the extent, if division sizes do not fit."	""
"Deterministic 8"	"Deterministisch 8"
"Deterministic 8 (D8)"	"Deterministisch 8 (D8)"
"Deterministic Infinity"	"deterministische Unendlichkeit"
"Development"	""
"Development Tools"	""
"Developmental Minimum Temperature"	""
"Developmental Optimum Temperature"	""
"Deviation"	""
"Deviation from Arithmetic Mean"	"Abweichung vom arithmetrischen Mittel"
"Deviation from Mean Value"	"Abweichung vom Mittelwert"
"Dew Point"	""
"Dew Point Difference"	""
"Dgyros"	""
"Diagram"	""
"Diameter of Gyration"	""
"Diameter plant elements"	""
"Dictionary Files"	""
"Dictionary for translations from built-in (English) to local language (editable text table, utf-8 encoded). You need to restart SAGA to apply the changes."	""
"Difference"	"Differenz"
"Difference Entropy"	""
"Difference Variance"	""
"Difference Vegetation Index"	""
"Difference from Arithmetic Mean"	"Differenz vom arithmetrischen Mittel"
"Difference from Mean Value"	"Differenz vom Mittelwert"
"Difference from Nadir"	""
"Difference from all neighbour's mean"	"Differenz vom Mittel aller Nachbarn"
"Difference in elevation used to create non-flat gradient conserving filled/carved surfaces."	""
"Difference to left neighbour"	"Differenz zum linken Nachbarn"
"Difference to left neighbour (using a while loop)"	"Differenz zum linken Nachbarn ( Gebrauch während Schleife)"
"Difference to local gradient."	"Differenz zum lokalen Gradient."
"Different UTM Zone"	""
"Differentiate between warm (not ambiguous) and cold clouds."	""
"Diffuse Insolation"	"Diffuse Einstrahlung"
"Diffuse Pollution Risk"	""
"Diffusive Hillslope Evolution (ADI)"	""
"Diffusive Hillslope Evolution (FTCS)"	""
"Diffusive Hillslope Processes"	""
"Diffusivity Coefficient Kd [mÂ²/a]"	""
"Diffusivity [m2 / kyr]"	""
"Diffuse Pollution Risk"	""
"Digital Elevation Model that has to be processed"	"Digitales Geländemodell dass berechnet werden soll"
"Digital Terrain Model"	""
"Digital elevation model"	"Digitales Höhenmodell"
"Digital elevation model [m]."	""
"Digital elevation model."	""
"Dilation"	"Streckung"
"Dim"	""
"Dip"	""
"Dip slope"	""
"DirecciÃ³n del viento"	""
"DirecciÃ³n del viento (grados desde el norte en sentido antihorario)"	""
"DirecciÃ³n del viento (grados desde el norte)"	""
"Direct Georeferencing of Airborne Photographs"	""
"Direct Insolation"	"Direkte Sonneneinstrahlung"
"Direct to Diffuse Ratio"	"Direkt zu diffus Verhältnis"
"Direction"	"Richtung"
"Direction Difference"	""
"Direction Flag"	""
"Direction [Degree]"	"Richtung [Grad]"
"Direction into which the wind blows, starting with 0 for North and increasing clockwise."	""
"Direction of Maximum Cost"	""
"Direction of Measurement"	""
"Direction of Minimum Standard Deviation"	"Richtung der minimalen Standardabweichung"
"Direction of Plane [Degree]"	"Richtung der Fläche [Grad]"
"Direction of Scan Flag"	""
"Direction of sun clockwise from North [degree]."	""
"Direction of the light source, measured in degree clockwise from the North direction."	""
"Directional Average"	""
"Directional Grid Statistics"	""
"Directional Statistics"	"Gerichtete Statistik"
"Directional Statistics for Points"	"Gerichtete Statistik für Punkte"
"Directional Statistics for Single Grid"	"Gerichtete Statistik für Einzelraster"
"Directional Step"	""
"Directions"	""
"Directory"	"Verzeichnis"
"Directory, where temporary cache files shall be saved."	"Verzeichnis, in dem temporäre Dateipuffer gespeichert werden sollen."
"Disconnect All"	""
"Disconnect from ODBC Source"	""
"Disconnect from PostgreSQL"	""
"Discrete AdaBoost"	""
"Discrete Colors"	""
"Discretization"	""
"Discretization Threshold"	""
"Disparity Image"	""
"Disparity Smoothness Parameter 1"	""
"Disparity Smoothness Parameter 2"	""
"Displacement Vector"	""
"Displacement vectors between correlated points"	""
"Display"	"Anzeige"
"Display Definition as..."	""
"Display Resolution"	"Auflösung Anzeige"
"Display Type"	"Anzeige Typ"
"Display Update Frequency"	""
"Display a cross hair of a map's current mouse position in all maps."	""
"Display mouse position in status bar as geographic coordinates."	""
"Display selected extent in map."	""
"Displays the scale instead of coordinates in the bottom and left frame boxes, if there is no scale bar shown in the map."	""
"Dissolve Buffers"	"Aufgelöste Puffer"
"Dissolve Clip Features"	""
"Dissolve Field(s)"	""
"Dissolved"	"Aufgelöst"
"Dissolved Lines"	"Aufgelöste Linien"
"Dissolved Polygons"	"Aufgelöste Polygone"
"Dist."	""
"Distance"	"Entfernung"
"Distance (ViGrA)"	""
"Distance Grid"	"Distanzraster"
"Distance Measurement"	""
"Distance Range"	""
"Distance Threshold"	"Entfernungsschwellenwert"
"Distance Weighted (inverse distance)"	""
"Distance Weighting Exponent"	""
"Distances"	""
"Distances > 0 if towards sea side (acretion) and < 0 if towards landside (erosion)"	""
"Distances as Lines"	""
"Distances from profile start point"	""
"Distances to profile start point"	""
"Distinct"	""
"Distribution"	""
"Diurnal Anisotropic Heat"	""
"Diurnal Anisotropic Heating"	"Tägliche anisotrope Erwärmung"
"Divergence"	"Abweichung"
"Diversity"	"Diversität"
"Diversity of Categories"	""
"Dividend"	""
"Division"	"Division"
"Division Height"	""
"Division Width"	""
"Division by zero is not allowed !!!"	"Division durch null ist nicht zulässig !!!"
"Divisor"	""
"Dmax"	""
"Dmax/A"	""
"Dmax/sqrt(A)"	""
"DmaxDir"	""
"Do not classify a pixel if more than one class reaches the same majority count for it."	""
"Do not fill areas representing no-data."	""
"Do not reset the water body grid before water level is calculated for the next point clicked."	""
"Do you really want to delete the table"	"Wollen Sie die Tabelle wirklich löschen"
"Do you really want to delete this raster band"	""
"Do you really want to proceed?"	""
"Do you want to activate on-the-fly projection for this layer in the map?"	""
"Do you want to delete the selection?"	"Soll die Auswahl entfernt werden?"
"Do you want to exit SAGA?"	"Wollen Sie SAGA beenden?"
"Dominance"	"Dominanz"
"Dominance of Majority"	""
"Don't Open Map Windows"	""
"Don't Restore"	""
"Dot and dash style"	"Punkt-Strich-Stil"
"Dotted style"	"Gepunktet"
"Double"	""
"Double Edges"	""
"Double Min Max"	""
"Down"	"Ab"
"Downhill flow is bound to preferred routing cells, where these are not no-data. Helps to model e.g. small ditches, that are not well represented in the elevation data."	""
"Downscaling Method"	""
"Downslope Area"	"Hangflächengebiet"
"Downslope Basins"	"Hangflächenbecken"
"Downslope Curvature"	""
"Downslope Distance Gradient"	"Hangflächendistanz Gradient"
"Drainage Basins"	""
"Drainage Network"	"Entwässerungsnetzwerk"
"Draw"	""
"Draw Faces"	""
"Draw Frame"	""
"Draw Nodes"	""
"Draw Wire"	""
"Draw a section each n points"	""
"Driest Quarter"	""
"Driver"	""
"Driver does not support file creation."	"Der Treiber unterstützt nicht die Dateierstellung."
"Drop Database"	""
"Drop Point Cloud Attributes"	""
"Drop Subset"	""
"Drop Table"	""
"Dropped Attributes"	""
"Dummy Grid"	"Attrappenraster"
"Duplicated Points"	"Duplizierte Punkte"
"Duplicates"	"Duplikate"
"Duration of Insolation"	"Dauer der Sonneneinstrahlung"
"Dust [ppm]"	"Staub [ppm]"
"Dust factor: 100 ppm (standard)"	"Staubfaktor: 100 ppm (standard)"
"Dynamic Water Surface"	""
"Dynamics"	""
"Dynamische Flaechenwassernutzung und Abflussreduktion"	""
"Dynamische Flaechenwassernutzung..."	""
"E-W"	""
"EDGES"	"KANTEN"
"EHD, Effective hydrological depth of the soil [m]"	""
"EPSG"	""
"ERDAS files other than version 7.4 are not supported."	"ERDAS-Dateien mit Ausnahme der Version 7.4 werden nicht unterstützt."
"ERROR"	""
"ESRI"	""
"ESRI Arc/Info ASCII Grids (*.asc)"	"ESRI Arc/Info ASCII Rasterdateien (*.asc)"
"ESRI Arc/Info Binary Grids (*.flt)"	"ESRI Arc/Info binäre Rasterdateien (*.flt)"
"ESRI Arc/Info Grids"	"ESRI Arc/Info Rasterdateien"
"ESRI E00"	""
"ESRI Shape File (*.shp)"	""
"ESRI Shape Files"	"ESRI Vektordateien [.shp]"
"ESRI Shapefiles"	"ESRI Vektordateien"
"ESRI WKT Files"	""
"ETM+ Gain"	""
"Each Line as new Profile"	"Jede Linie als neues Profil"
"Each grid collection must provide at least one level."	""
"Each grid collection must provide at least one z level."	""
"Earth's Orbital Parameters"	""
"East"	"Ost"
"Easting"	""
"Eccentricity"	""
"Eccentricity (e)"	"Exzentrizität (e)"
"Eckert IV/VI"	""
"Edge"	"Rahmen"
"Edge Cells"	""
"Edge Connectivity"	""
"Edge Contamination"	"Flankenkontamination"
"Edge Detection (ViGrA)"	""
"Edge Flag"	""
"Edge Lines"	""
"Edge Points"	""
"Edge Segments"	""
"Edge length [map units]"	""
"Edge of Flight Line Flag"	""
"Edge threshold for nonlinear smoothing"	"Grenzschwellenwert für nichtlineare Glättung"
"Edges"	"Kanten"
"Edit"	"Bearbeiten"
"Edit 3D-View Sequencer Positions"	""
"Edit Point Cloud"	"Bearbeite Punktwolke"
"Edit Positions"	"Positionen bearbeiten"
"Edit Scaling"	""
"Edit Selection"	""
"Edit Shapes"	"Vektoren bearbeiten"
"Edit offset and scaling for each attribute."	""
"Effective Air Flow Heights"	"Effektive Luftflusshöhen"
"Effective Flow Length"	""
"Effective Rainfall"	""
"Effective hydrological depth"	""
"Eigen Vectors"	""
"Eigen reduction failed"	"Eigen Reduktion fehlgeschlagen"
"Eigenvalue"	"Eigenwert"
"Eigenvectors"	"Eigenvektoren"
"Eingangsdaten"	""
"Einheit in der die WUse Daten vorliegen"	""
"Einlesen der NCache Textdatei"	""
"Either local maxima (peaks) or minima (pits) of band 1, or provided seeds grid (enumerated values greater zero or not no-data)."	""
"Element Shape"	"Element Vektor"
"Elements"	"Elemente"
"Elevation"	"Höhe"
"Elevation Averaging"	""
"Elevation Difference"	""
"Elevation Grid"	"Höhenraster"
"Elevation Range"	"Erhebungsbereich"
"Elevation Threshold"	""
"Elevation grid"	"Höhenraster"
"Elevation range is equal to or lower than zero!"	""
"Ellipsoid Definition"	"Ellipsoid Definition"
"Ellipsoid Height [m]"	""
"Ellipsoids"	""
"Emissivity"	""
"Empirical parameter [mm/day], depends on soil texture and structure."	""
"Empty file!"	""
"Empty or invalid input table."	""
"Enable local disk cache. Allows for offline operation."	""
"Enables local disk caching for base maps."	""
"Encoding"	""
"Encountered invalid path description in *.spcvf file!"	""
"Encountered invalid path description in *.spcvf_tile_info file!"	""
"End edge coastline"	""
"End of Breeding"	""
"End of Development"	""
"Endless loop (3rd option) is ignored if file output is activated."	""
"Energy"	""
"Energy Reduction (Scheidegger 1975)"	""
"Enforce True Color"	"Erzwinge Echtfarben"
"Enhanced Vegetation Index"	""
"Enter Color Code"	""
"Enter comma separated red, green, blue values"	""
"Enter/leave shape edit mode"	""
"Entropy"	""
"Enumerated"	""
"Enumeration"	""
"Enumeration Field Name"	""
"Epsilon"	"Epsilon"
"Equals"	"Gleich"
"Equation"	"Gleichung"
"Equidistance"	"Äquidistanz"
"Equidistant Cylindrical"	""
"Equivalent Rectangle (A)"	"gleichwertiges Rechteck (A)"
"Equivalent Rectangle (B)"	"gleichwertiges Rechteck (B)"
"Erdas LAN/GIS files (*.lan, *.gis)|*.lan;*.gis|All Files|*.*"	"Erdan LAN/GIS Dateien (*.lan, *.gis)|*.lan;*.gis|Alle Dateien|*.*"
"Erosion"	"Erosion"
"Error"	"Fehler"
"Error : Wrong table. Check table dimensions"	"Fehler : Falsche Tabelle. Prüfe Tabellenabmessungen"
"Error Change (Epsilon)"	""
"Error Measure"	""
"Error change (epsilon)"	""
"Error in Formula"	"Fehler in Formel"
"Error in Trend Calculation"	"Fehler in Trendberechnung"
"Error in formula"	""
"Error parsing attribute field index!"	""
"Error parsing attribute fields: can't convert to number"	"Fehler beim Analysieren der Attributfelder: Umwandlung in Zahl nicht möglich"
"Error parsing attribute fields: can't convert to number!"	""
"Error parsing attribute fields: field index out of range"	"Fehler beim Analysieren der Attributfelder: Feldindex außerhalb des Wertebereiches"
"Error parsing attribute fields: field index out of range!"	""
"Errors"	"Fehler"
"Estimate Solar Radiation"	""
"Estimate solar radiation from date, latitudinal position and sunshine duration as percentage of its potential maximum."	""
"Estimated"	""
"Estimated Noise (absolute)"	"abgeschätztes Rauschen (absolut) "
"Estimated Noise (relative)"	"abgeschätztes Rauschen (relativ) "
"Estimated noise in units of input data"	"abgeschätztes Rauschen in Einheiten der Eingabedaten"
"Estimated noise relative to mean standard deviation"	"abgeschätztes Rauschen relativ zur mittleren Standardabweichung"
"Estimated relative tree line height."	""
"Et/Eo, ratio of actual to potential evapotranspiration"	""
"Ether your input parameter caused this or some weird edge-case with the input-data "	""
"Euclidean"	"Euklidisch"
"Euclidean"	""
"EvP1 Name"	""
"EvP2 Name"	""
"EvP3 Name"	""
"Evaluate Statistics for Grids"	""
"Evaluierungspunkt 1 [Default: Elbe5000]"	""
"Evaluierungspunkt 2 [Default: Elbe5000]"	""
"Evaluierungspunkt 3 [Default: Elbe5000]"	""
"Evapotranspiration"	""
"Evapotranspiration [m / dt]"	""
"Evenness"	""
"Exact"	""
"Exaggeration"	"Überhöhung"
"Exaggeration Factor"	"Überhöhung"
"Exaggeration Z"	""
"Execute"	"Ausführen"
"Execute SQL"	""
"Execute Tool"	"Werkzeug ausführen"
"Executing"	""
"Execution"	"Ausführung"
"Execution failed"	""
"Execution has been stopped by user!"	""
"Execution started"	""
"Execution stopped, because this would delete all points."	""
"Execution stopped, because this would delete no point at all."	""
"Execution succeeded"	""
"Exit"	"Beenden"
"Exit SAGA"	"SAGA beenden"
"Expand"	"Erweitern"
"Expand Options"	""
"Expand and Shrink"	""
"Expects that the input RGB uses geographic coordinates."	""
"Expects that the input grid uses geographic coordinates."	""
"Exponent"	"Exponent"
"Exponent for distance weighting (0.0-4.0)"	""
"Exponential"	""
"Export"	""
"Export Animated GIF File"	""
"Export Atlas Boundary File"	"Export Atlas Boundary Datei"
"Export ESRI Arc/Info Grid"	"Export ESRI Arc/Info Rasterdaten"
"Export GPX"	"Export GPX"
"Export GStat Shapes"	"Export GStat Vektordaten"
"Export GeoTIFF"	""
"Export Grid Collection"	""
"Export Grid to KML"	""
"Export Grid to XYZ"	"Export Raster zu XYZ"
"Export LAS/LAZ File"	""
"Export Map to Google Earth"	""
"Export Point Cloud to Text File"	""
"Export Polygons to HTML Image Map"	""
"Export Raster"	""
"Export Scalable Vector Graphics (SVG) File"	"Export Scalable Vector Graphics (SVG) Dateien"
"Export Shapes"	""
"Export Shapes to Generate"	"Export Vektoren die zu erzeugen sind"
"Export Shapes to KML"	""
"Export Shapes to XYZ"	"Export Vektoren als XYZ"
"Export Simple Features to Well Known Text"	""
"Export Surfer Blanking File"	"Export Surfer Blanking Dateien"
"Export Surfer Grid"	"Export Surfer Rasterdaten"
"Export TIN to Stereo Lithography File (STL)"	"Export TIN zu Stereo Lithography Dateien (STL)"
"Export Table"	""
"Export Text Table"	"Export Textabellen"
"Export True Color Bitmap"	"Export Echtfarben Bitmap"
"Export WASP terrain map file"	"Export WASP Geländekartendateien"
"Export WAsP (Wind Atlas Analysis and Application Program) terrain map file"	""
"Export WRF Geogrid Binary Format"	""
"Export to Image File"	""
"Export to KMZ file (Google Earth). Ignored if empty."	""
"Expression"	"Ausdruck"
"Expression Type"	""
"Extend contours beyond boundary. Internally input grid is extrapolated by one cell size in each direction (top, down, left, right)."	""
"Extended Markup Language Files"	""
"Extended Neighbourhood"	"erweiterte Nachbarschaft"
"Extension"	""
"Extensions"	""
"Extent"	"Umfang"
"Extent Definition"	""
"Extent [Cut]"	"Umfang [Zuschneiden]"
"Extents"	"Umfange"
"Extents of elevation model and images do not intersect!"	""
"Extents of lines and target grid do not intersect."	""
"Exterior Orientation Parameters"	""
"Extract Closed Lines"	""
"Extract Grids from a Grid Collection"	""
"Extract Subset"	""
"Extract a Grid from a Grid Collection"	""
"Extreme"	"Extrem"
"Eye Distance [Degree]"	"Augendistanz [Grad]"
"F-statistic"	""
"FACE_A"	"SEITE_B"
"FACE_B"	"SEITE_A"
"FIELDS"	""
"FS 1-1.5"	""
"FS 1.5-3"	""
"FS 3-6"	""
"FS <1"	""
"FS >6"	""
"FTP download failed..."	""
"FTP download finished..."	""
"Faces"	""
"Factor"	"Faktor"
"Factor [-] used as weight for the current flow direction. A higher factor reduces abrupt changes in flow direction."	""
"Fade Color Count"	"Bleiche Farben Zähler"
"Fahrboeschung Principle (Heim 1932)"	""
"Fahrenheit to Celsius"	"Fahrenheit zu Celsius"
"Failed to allocate memory for coverage grid"	""
"Failed to connect to server."	""
"Failed to get capabilities."	""
"Failed to get map."	""
"Failed to load page!"	""
"Failed to open file"	""
"Failed to place the desired number of points"	""
"Failed to read image"	""
"Failed to request target grid."	""
"Failed to retrieve stream"	""
"Failed to train the model."	""
"Failure"	""
"False Easting"	"unechte Ostrichtung"
"False Easting [m]"	""
"False Northing"	"unechte Nordrichtung [m]"
"False Northing [m]"	""
"Fast Representativeness"	"Schneller repräsentativer Charakter"
"Feature"	""
"Feature Importances"	""
"Feature Probabilities"	""
"Feature Selection"	""
"Features"	"Merkmale"
"Features are all pixels not representing a no-data value."	""
"Features per Node"	""
"February"	"Februar"
"Feet Adjustment"	""
"Feet Conversion"	""
"Feigenbaum's Bifurcation"	"Feigenbaum´s Verzweigung"
"Feret Diameters"	""
"Ferhat BingÃ¶l (c) 2009"	""
"Field"	"Feld"
"Field %d: Name=\"%s\" "	""
"Field Calculator"	""
"Field Capacity"	""
"Field Definition"	"Feld Definition"
"Field Description"	"Feld Beschreibung"
"Field Enumeration"	""
"Field Identifier"	""
"Field Name"	"Feld Name"
"Field Names"	"Feldnamen"
"Field Naming"	"Feldbenennung"
"Field Properties"	"Feld Eigenschaften"
"Field Separator"	"Feld Trennzeichen"
"Field Statistics"	""
"Field Type"	"Feld Typ"
"Field Types"	"Feldtypen"
"Field for Summary"	""
"Field index is out-of-range!"	""
"Field needs to be specified!"	""
"Field numbers (starting from 1) of the attributes to copy, separated by semicolon; fields one to three (x;y;z) are mandatory."	""
"Field that provides file paths (either absolute or relative to this data set) to images to be displayed besides the points."	""
"Field that provides file paths to additional record information (HTML formatted), either absolute or relative to this data set."	""
"Field with measure information."	""
"Field with the identifier."	""
"Field with the x coordinate."	""
"Field with the y coordinate."	""
"Field with the z coordinate."	""
"Field with z-coordinate information."	""
"Fields"	"Felder"
"Fields Visited"	""
"Figure"	"Bild"
"File"	"Datei"
"File Cache"	"Datei Speicher"
"File Encoding"	""
"File Format"	""
"File Name"	"Dateiname"
"File Paths"	""
"File System"	""
"File error"	"Dateifehler"
"File not found!"	""
"File with Coefficients"	""
"Filename"	""
"Filename Digits"	""
"Filepath"	""
"Files"	"Dateien"
"File|ESRI E00"	"Datei|ESRI E00"
"File|GPS Import"	"Datei|GPS Import"
"File|Grid"	"Datei|Raster"
"File|Reports"	"Datei|Berichte"
"File|Shapes"	"Datei|Vektordaten"
"File|Table"	""
"File|Tables"	"Datei|Tabellen"
"File|Virtual"	""
"File|Web Services"	""
"Filial Generation"	""
"Fill"	""
"Fill Color"	"Füllfarbe"
"Fill Color 1"	""
"Fill Color 2"	""
"Fill Gaps in Ordered Records"	""
"Fill Gaps in Records"	""
"Fill Increment"	""
"Fill Minima"	""
"Fill Sides"	""
"Fill Sinks"	"Fülle Senken"
"Fill Sinks (Planchon/Darboux, 2001)"	"Fülle Senken (Planchon/Darboux, 2001)"
"Fill Sinks (QM of ESP)"	""
"Fill Sinks (Wang & Liu)"	"Fülle Senken (Wang & Liu)"
"Fill Sinks XXL (Wang & Liu)"	"Fülle Senken XXL (Wang & Liu)"
"Fill Style"	"Füllstil"
"Fill Value"	"Füllwert"
"Fill with No-Data"	""
"Filled DEM"	"gefülltes DGM"
"Filling small holes in clouds..."	""
"Filter"	"Filter"
"Filter (Perego 2009)"	""
"Filter Clumps"	"Filter Klumpen"
"Filter Criterion"	"Filterkriterium"
"Filter Modification"	""
"Filter Radius"	""
"Filter Size (Radius)"	""
"Filtered"	"Gefiltert"
"Filtered Grid"	"Gefiltertes Raster"
"Filtered Grids"	""
"Filtered Image"	""
"Filtered Points"	"Gefiterte Punkte"
"Filtered mask will be created automatically ..."	""
"Filtering..."	""
"Final Parameters"	"endgültige Parameter"
"Final State"	"Endzustand"
"Final aspect-slope grid."	""
"Final processing..."	"Endgültige Berechnung..."
"Finalize"	"Abschließen"
"Find Field of Extreme Value"	"Finde Feld extremer Werte"
"Find Outlets"	"Finde Abfluss"
"Find Pits"	"Finde Gruben"
"Find and Run Tool"	"Finde und starte Werkzeug"
"Fire Length"	"Feuerlänge"
"Fire Length (min)"	"Feuerlänge (min)"
"Fire Risk Analysis"	"Feuer-Risikoanalyse"
"Fire Spreading Analysis"	""
"First Class"	""
"First Day"	"Erster tag"
"First Derivative is singular! Probably the shape contains consecutive identical points.\n\n"	""
"First Grid"	""
"First Growing Day"	""
"First Growing Degree Day"	""
"First growing day of the year (1-365)."	""
"First growing degree day of the year (1-365)."	""
"First input grid"	"Erstes Eingaberaster"
"Fit"	"Passend"
"Fit Color Palette to Grid Values"	"Passe Farbpalette an Rasterwerte an"
"Fit Column Sizes"	""
"Fit Row Sizes"	""
"Fit Size"	""
"Fit Size to Window"	""
"Fit Size to..."	""
"Fit diagram's frame size to the parent window, when its size has changed."	""
"Fitting range"	"Anpassungsbereich"
"Fix Maximum"	""
"Fix Minimum"	""
"Fix Ratio"	""
"Fixed Color Stretch"	""
"Fixed Color Stretch for Flow"	""
"Fixed Color Stretch for Velocity"	""
"Fixed Interval (Degree)"	""
"Fixed Scale"	""
"Fixed Time Span (minutes)"	""
"Fixed Time Span Offset (minutes)"	""
"Fixed angle"	"Fester Winkel"
"Fixed buffer distance given in map units."	""
"Fixed value to be replaced"	"Auszutauschender fester Wert"
"Flaechenverbrauch-Auswahl (FvA)"	""
"Flag Selection"	""
"Flame Length"	"Flammenlänge"
"Flame Length (m)"	"Flammenlänge (m)"
"Flat"	""
"Flat Area Threshold"	""
"Flat Area Values"	"Wohngebietwerte"
"Flat Areas"	"Wohngebiete"
"Flat Detection"	"Flacherkennung"
"Flatness threshold angle (degrees)."	""
"Flats"	"Wohnungen"
"Flatten Polygon Layer"	""
"Flattening"	"Abplattung"
"Flattening (f)"	"Abplattung (f)"
"Flip Line Direction"	""
"Flipped"	""
"Flipped Lines"	""
"Floating Point (4 byte)"	"Fließkommazahl (4 Byte)"
"Floating Point (8 byte)"	"Fließkommazahl (8 Byte)"
"Floating Point Numbers"	""
"Floating Point Precision"	""
"Flood Fill"	""
"Flooded DEM"	""
"Flow"	""
"Flow Accumulation"	"Strömung Akkumulierung"
"Flow Accumulation (Flow Tracing)"	""
"Flow Accumulation (Mass-Flux Method)"	""
"Flow Accumulation (One Step)"	""
"Flow Accumulation (Parallel)"	"Strömung Akkumulierung (Parallel)"
"Flow Accumulation (Parallelizable)"	""
"Flow Accumulation (QM of ESP)"	""
"Flow Accumulation (Recursive)"	""
"Flow Accumulation (Top-Down)"	""
"Flow Accumulation (Trace)"	"Strömung Akkumulierung (Spur)"
"Flow Accumulation Unit"	""
"Flow Accumulation|Alternatives"	""
"Flow Algorithm"	"Strömung Algorithmus"
"Flow Concentration"	""
"Flow Connectivity"	"Strömung Konnektivität"
"Flow Correction"	"Strömung Korrektur"
"Flow Depth"	"Strömung Tiefe"
"Flow Depth (actual flow velocity)"	""
"Flow Depth Grid (m)"	""
"Flow Direction"	"Strömung Richtung"
"Flow Direction (up and down)"	"Strömung Richtung (auf und ab)"
"Flow Directions"	"Strömung Richtungen"
"Flow Distance"	"Fließentfernung"
"Flow Distances"	"Fließentfernungen"
"Flow Distribution"	""
"Flow Line Curvature"	""
"Flow Lines"	"Strömung Linien"
"Flow Path Length"	"Strömung Bahnlängen"
"Flow Path Profile"	"Strömung Wegprofile"
"Flow Routing"	""
"Flow Routing Algorithm"	"Strömung Routingalgorithmus"
"Flow Sinuosity"	"Strömung Sinusität"
"Flow Split Method"	"Strömung Aufteilungsmethode"
"Flow Threshold"	""
"Flow Through"	""
"Flow Travel Time"	""
"Flow Velocity"	""
"Flow Width"	""
"Flow Width and Specific Catchment Area"	""
"Flow [mm]"	""
"Flow accumulation values collected for each monitor point."	""
"Flow at Gauges"	"Strömung an Messlehren"
"Flow table"	""
"Flow threshold, given as amount of cells, above which flow transport is unlimited. Ignored if range equals zero."	""
"Flux"	""
"Flux out of each cell, i.e. everything accumulated so far."	""
"Fmax"	""
"Fmax90"	""
"FmaxDir"	""
"Fmean"	""
"Fmin"	""
"Fmin90"	""
"FminDir"	""
"Focal Length [mm]"	""
"Focal Mechanism (Beachball Plots)"	""
"Focal Mechanism Beachballs"	""
"Focal Mechanism Plots"	""
"Focal PCA on a Grid"	""
"Focal Statistics"	""
"Folder"	""
"Folder for PDF Files"	""
"Following raster formats are currently supported:"	""
"Following vector formats are currently supported:"	""
"Font"	""
"Font size given as percentage of map size."	""
"Foot Hollow"	""
"Foot Slope"	""
"Foot Spur"	""
"Footslope"	""
"For SAVI, suggested values (after Silleos et al. 2006): 1.0 = very low, 0.5 = intermediate, 0.25 = high density vegetation."	""
"For non-polygon type training areas, creates a buffer with a diameter of specified size."	""
"For performance reason the maximum number of selectable attribute fields has been limited!"	""
"For testing purposes. Only generate flow at cells with step distance (each step row/column)."	""
"Force Inside"	""
"Force Update"	""
"Format"	"Format"
"Formats"	""
"Formatted Text"	""
"Formula"	"Formel"
"Formula used to estimate vapor pressure at saturation."	""
"Forward"	"Vorwärts"
"Forward Diagonal"	"Vorwärts Digonal"
