TEXT	TRANSLATION
Edge	Rahmen
Edge Contamination	
Edge threshold for nonlinear smoothing	
Edges	Kanten
Efective friction = stated friction ^f , where f = cos(DifAngle)^k.	effektive Reibung = vorgegebene Reibung ^f , wobei f = cos(DifWinkel)^k. 
Effective Air Flow Heights	
Element Shape	
Elements	Elemente
Elevation	Erhöhung
Elevation Grid	
Elevation [m]	
Elevation at Reference Station [m]	
Elevation grid	
Ellipsoid Definition	
Ellipsoid Height [m]	
Ellipsoids	
Enforce True Color	
Enumerate a Table Attribute	Zähle Tabellenattribute durch
Enumerate attribute of a table, i.e. assign to identical values of choosen attribute field unique identifiers.\n	Zähle ein Tabellenattribut durch, z.B. um gleichen Werten eines gewählten Attributfeldes einen spezifischen Identifizierer zuzuweisen.\n
Epsilon	
Equals	
Equation	
Equidistance	Äquidistanz
Equidistant Cylindrical	
Equivalent Moisture	
Equivalente Rectangle (Side 1)(m)	
Equivalente Rectangle (Side 2)(m)	
Erdas LAN/GIS files (*.lan, *.gis)|*.lan;*.gis|All Files|*.*	
Erosion	
Error	Fehler
Error : Wrong table. Check table dimensions	Fehler : Falsche Tabelle. Prüfe Tabellenabmessungen
Error : Wrong weights table. Check table dimensions	Fehler : Falsche Wichtungstabelle. Prüfe Tabellenabmessunge
Error at character #%d of the function: \n%s\n	Fehler bei Buchstabe #% der Funktion: \n%s\n
Error at character #%d of the function: \n%s\n%s\n	Fehler bei Zeichen #% der Funktion: \n%s\n%s\n
Error in Formula	Fehler in Formel
Error in Trend Calculation	Fehler in Trendberechnung
Error in formula	Fehler in Formel
Error parsing attribute fields: can't convert to number	
Error parsing attribute fields: field index out of range	
Error: invalid source and target references.	
Error: not enough reference points. The transformation requires at least 3 reference points.	
Error: source and target references differ in number of points.	
Estimated Noise (absolute)	abgeschätztes Rauschen (absolut) 
Estimated Noise (relative)	abgeschätztes Rauschen (relativ) 
Estimated noise in units of input data	abgeschätztes Rauschen in Einheiten der Eingabedaten
Estimated noise relative to mean standard deviation	abgeschätztes Rauschen relativ zur mittleren Standardabweichung
Euclidean	
Exaggeration	Überhöhung
Exclude NoData Cells	Zellen ohne Wert ausschließen
Exit SAGA	SAGA beenden
Exponent	
Exponential Model	
Exponential Regression	
Exponential and Gaussian Weighting Bandwidth	Bandweite Exponentielle und Gaussche Gewichtung
Export Atlas Boundary File	
Export ESRI Arc/Info Grid	
Export GPX	
Export GStat Shapes	
Export Grid to XYZ	
Export Image (bmp, jpg, png)	
Export LAS Files	
Export Scalable Vector Graphics (SVG) File	
Export Shapes to Generate	
Export Shapes to XYZ	
Export Surfer Blanking File	
Export Surfer Grid	
Export TIN to Stereo Lithography File (STL)	
Export Text Table	
Export True Color Bitmap	
Export WASP terrain map file	
Export descriptions	
Export names	
Export z values	
Expression	Ausdruck
Extended Neighourhood	erweiterte Nachbarschaft
Extent	Umfang
Extent [Cut]	Umfang [Zuschneiden]
Extent to CellSize	Abhängig von Zellgröße
Extents	Umfange
Extraction of...	
Eye Distance	Augendistanz
FLOW	VERLAUF
Factor	
Fade Color Count	
Failed to initialise search engine.	Suchmaschine konnte nicht gestartet werden.
False Easting	
False Easting [m]	
False Northing	
False Northing [m]	
Fast Region Growing Algorithm	
Fast Representativeness	
Feature Aggregation	
Feature Space Options	
Features	Merkmale
Features Grid	Merkmalsraster
Features are all pixels different not representing no-data.	
February	
Feigenbaum's Bifurcation	
Ferhat Bingöl (c) 2009	
Field	Feld
Field (ID)	Feld (ID)
Field (Name)	Feld (Name)
Field Capacity [mm]	
Field Definition	
Field Description	
Field Name	Feldname
Field Properties	Feldeigenschaften
Field Separator	
Field Type	Datentyp
Field for File Naming	Feld für Dateibenennung
Field for Summary	Feld für Zusammenfassung
Fields	Felder
Fields for diagram	Feld für Diagramm
Figure	Bild
File	
File Name	
File Naming	Dateibenennung
File contains headline	
File does not exist:	
File error	
Files	Dateien
File|ESRI E00	
File|GDAL/OGR	
File|GPS Import	
File|Grid	
File|Reports	
File|Shapes	
File|Table	
File|Tables	
Fill Color	Füllfarbe
Fill NoData	Füllen der NoData-Zellen
Fill Sinks	
Fill Sinks (Planchon/Darboux, 2001)	
Fill Sinks (Wang & Liu)	
Fill Sinks XXL (Wang & Liu)	
Fill Value	Füllwert
Filled DEM	
Filter	
Filter Clumps	Filter Klumpen
Filter Matrix	
Filtered DTM	Gefiltertes DGM
Filtered Grid	Gefiltertes Raster
Final Parameters	
Final processing...	
Finalize	
Find Outlets	
Find Pits	
Fire Length	
Fire Length (min)	
Fire Risk Analysis	
First Class	Erste Klasse
First Day	
First input grid	
Fit	Passend
Fit 2.Degree Polynom (Bauer, Rohdenburg, Bork 1985)	
Fit 2.Degree Polynom (Heerdegen & Beran 1982)	
Fit 2.Degree Polynom (Zevenbergen & Thorne 1987)	
Fit 3.Degree Polynom (Haralick 1983)	
Fit Color Palette to Grid Values	Passe Farbpalette an Rasterwerte an
Fit Extent	
Fit N Points to shape	N Punkte an Vektor anpassen
Fitting range	
Fixed angle	
Fixed value to be replaced	Auszutauschender fester Wert
Fixed|Cell value|	Fest|Zellwert|
Flame Length	
Flame Length (m)	
Flat Area Values	
Flat Areas	
Flat Detection	
Flats	
Flattening	
Flattening (f)	
Flip	Kippen
Floating Point (4 byte)	Fließkommazahl (4 Byte)
Floating Point (8 byte)	Fließkommazahl (8 Byte)
Flooded digital elevation model	
Flow Accumulation	Verlauf Akkumulierung
Flow Accumulation (Parallel)	Verlauf Akkumulierung (Parallel)
Flow Accumulation (Trace)	Verlauf Akkumulierung (Spur)
Flow Accumulation, Mass-Flux Method	
Flow Algorithm	
Flow Connectivity	
Flow Correction	
Flow Depth	
Flow Depth Grid (m)	
Flow Direction	Verlauf Richtung
Flow Direction (up and down)	Verlauf Richtung (auf und ab)
Flow Directions	
Flow Lines	
Flow Network	
Flow Path Length	
Flow Path Profile	
Flow Routing Algorithm	
Flow Sinuosity	
Flow Split Method	
Flow Tracing	
Flow Width	
Flow at Gauges	
Folder	Ordner
Folder for PDF Files	
Format	
Formula	Formel
Formula String	
Forward diagonal hatch	Diagonalschraffur vorwärts
Fourier Transformation (Imaginary)	
Fourier Transformation (Real)	
Fractal Dimension	
Fractal Dimension of Grid Surface	
Fractal Type	
Fractals	
Fragmentation	Aufteilung
Fragmentation (Alternative)	Aufteilung (Alternative)
Fragmentation (Standard)	Aufteilung (Standard)
Fragmentation Classes from Density and Connectivity	Aufteilungsklassen aus Dichte und Konnektivität
Fragmentation Index	Aufteilungsindex
Frequency	Frequenz
Fuel Model	
Function	Funktion
Function Fit	Funktionsanpassung
Function Fitting Range	
Function Parameters	Funktionsparameter
Function failed because no attributes are available	Funktion schlug fehl, weil keine Attribute verfügbar sind.
Fuzzified	unscharf
Fuzzified Grid	
Fuzzify	Unschärfe
Fuzzy Intersection	
Fuzzy union grid	unscharfe vereinigte Raster
GDAL: Export Raster	
GDAL: Export Raster to GeoTIFF	
GDAL: Import Raster	
GPS Exchange Format (*.gpx)	
GPSBabel	
GPSBabel path	
GPX Import	
GPX file	
GPX files (*.gpx)|*.gpx|All Files|*.*	
GPX to shapefile	
GREEN_BLUE	
GREEN_GREY_BLUE	
GREEN_RED_BLUE	
GRID	
GStat Files (*.gstat)	
GStat shapes format export.	
GStat shapes format import.	
GWR Intercept	
GWR Quality	
GWR Regression	
GWR Slope	
Game Level	
Games	
Gauges	
Gaussian	Gaußsche
Gaussian Filter	Gaußfilter
Gaussian Landscape	
Gaussian Landscapes	
Gaussian Model	
Gaussian and Exponential Weighting Bandwidth	
General	Allgemein
General Settings	
Generalisation	
Geo-Reference	
GeoTRANS (Shapes)	
GeoTRANS engine initializing error!\n\nPlease check your data path settings!	
GeoTrans (Grid)	
Geocentric Coordinate System	
Geodetic	
Geographic Coordinate System	
Geographic Coordinate Systems	
Geographically Weighted Multiple Regression	
Geographically Weighted Multiple Regression (Points/Grids)	
Geographically Weighted Regression	
Geographically Weighted Regression (Points/Grid)	
Geoid	
Geometric Figures	Geometrische Figur
Geometrical Properties of Polygons	Geometrische Eigenschaften der Polygone
Georeferencing - Grids	
Georeferencing - Move Grid	
Georeferencing - Shapes	
Geostatistics - Grids	
Geostatistics - Kriging	
Geostatistics - Points	
Geostatistics - Regression	
Geostatistics|Grids	
Geostatistics|Kriging	
Geostatistics|Points	
Geostatistics|Regression	
Get CRS Definition from...	
Get Grid Data for Shapes	Erhalte Rasterdaten für Vektoren
Get Shapes Extents	Nimm Vektorumfang
Get table from MySQL server.\n	
Global Moran's I for Grids	
Gnomonic	
Gpx2shp path	
Gradient	
Gradient Difference	
Gradient Vectors	
Gradient Vectors from Grid(s)	
Gradient threshold	
Graticule	Gitternetz
Graticule type	Gitternetztyp
Greater than	Größer als
Green	Grün
Green-Ampt Infiltration	
Grid	Raster
Grid - Analysis	Raster - Auswertung
Grid - Calculus	Raster - Berechnung
Grid - Calculus BSL	Raster - Berechnung BSL
Grid - Filter	Raster - Filter
Grid - Gridding	Raster - Rastern
Grid - Spline Interpolation	Raster - Spline Interpolation
Grid - Tools	Raster - Werkzeuge
Grid - Visualisation	Raster - Visualisierung
Grid 1	Raster 1
Grid 2	Raster 2
Grid A	
Grid A. Final	Raster A. endgültig
Grid A. Init	Raster A. anfänglich
Grid B	
Grid B. Final	Raster B. endgültig
Grid B. Init	Raster B. anfänglich
Grid Buffer	Rasterpuffer
Grid Calculator	Raster Rechner
Grid Difference	Raster Differenz
Grid Display Defaults	Voreinstellungen Rasterdarstellung
Grid File Caching	Dateipufferung für Raster
Grid Interpolation	
Grid Manager	
Grid Masking	Raster Abdeckung
Grid Normalisation	Raster Normierung
Grid Orientation	Raster Ausrichtung
Grid Project	Raster Projekt
Grid Properties	Raster Eigenschaften
Grid Proximity Buffer	Raster Nachbarschaftspuffer
Grid Segmentation	Raster Aufteilung
Grid Segmentation (b)	Raster Aufteilung (b)
Grid Size	Raster Größe
Grid Skeletonization	Raster Gerüst
Grid Statistics for Polygons	Rasterstatistik für Polygone
Grid System	Rastersystem
Grid System Extent	Gridsystem Ausmaß
Grid Type	
Grid Value Request	Rasterwertabfrage
Grid Values	Rasterwerte
Grid Values [Cells]	
Grid Values [Nodes]	
Grid Values to Points (randomly)	Rasterwerte zu Punkten (zufällig)
Grid Values to Shapes	
Grid Volume	Raster Volumen
Grid based or related calculations.	Rasterbasiert oder ähnliche Berechnungen
Grid defining the zones to analyse. This grid also acts as a mask. Coding: no-data / categorial values.	
Grid range	Raster Bereich
Grid to TIN	Raster zu TIN
Grid to TIN (Surface Specific Points)	Raster zu TIN (Oberflächenspezifische Punkte)
Grid to filter	zu filterndes Raster
Grid to reclassify	neueinzuteilendes Raster
Grid value equals low value	Rasterwert ist gleich zu niedrigem Wert
Grid with category of nearest source cell [Category]	Raster mit Gruppen nächster Ausgangszellen [Gruppen]
Grid with euclidian distance to nearest source cell [grid units]	Raster mit euklidischer Entfernung zu nächsten Ausgangszellen [Rastereinheiten]
Grid with features to be buffered [Category/NoData]	Raster mit Merkmalen die zu puffern sind [Gruppen/NoData]
Grid(s)	Raster
Grid(s) to fit extent to	Raster, die Abmessung bestimmen
Grid_Normalised	Raster_normalisiert
Grids	Raster
Grids Product	
Grids Sum	
Grids from classified grid and table	Raster von geordnetem Raster und Tabelle
Grids to Merge	zu verschmelzende Raster
Grids to analyse	
Grids to request	abzufragende Raster
Grids used to delineate the UCUs. Coding: no-data / categorial values.	
Grids with continuous data, statistics are calculated for each grid. Coding: no-data / continuous values.	
Grid|Analysis	Raster|Auswertung
Grid|Calculus	Raster|Berechnung
Grid|Filter	Raster|Filter
Grid|Gridding	Raster|Rastern
Grid|Tools	Raster|Werkzeuge
Grid|Visualisation	Raster|Visualisierung
Group A	Gruppe A
Group B	Gruppe B
Group by	
Hafer	
Has Field Names	
Have their center in	Das Zentrum haben in…
Having	
Headers	
Height	Höhe
Height (Cells)	Höhe (Zellen)
Height Threshold	
Height of Atmosphere [m]	
Height of Atmosphere and Vapour Pressure	
Height of the light source above ground.	
Height of view point	
Height threshold for optimal profile calculation	
Hello by G. Massei	
Hemisphere	
Herbaceous Fuel Moisture	
High Value	Großer Wert
High variation for low sizes	
Hilditch's Algorithm	Hilditch´s Algorithmus
Hill-Climbing (Rubin 1967)	Bergsteigeralgorithmus (Rubin 1967)
Histogram	
Histogram Surface	
Homogenous	
Horizontal Overland Flow Distance	
Horizontal Range	Horizontaler Bereich
Horizontal hatch	horizontale Schraffur
Horizontally mirrored	horizontal gespiegelt
Humedad del combustible herbáceo vivo	
Humedad del combustible leñoso vivo	
Humedad del combustible muerto en 1-hora	
Humedad del combustible muerto en 10-horas	
Humedad del combustible muerto en 100-horas	
Humification Factor	
Humus to Charcoal	
Hypsometric Curve	
Hypsometry	
I am a module library template.	
I'm diggin'...	
I'm fillin'...	
I1: unrecognizable operator	I1: nicht erkannter Operator
I2: too many parameters	I2: zu viele Parameter
I3: corrupted buffer	I3: beschädigter Pufferspeicher
I4: size estimate too small	I4: Größe falsch eingeschätzt
ID	ID
IHACRES Basin	
IHACRES Basin (Dialog 2)	
IHACRES Calibration (2)	
IHACRES Distributed Input Dialog 2	
IHACRES Elevation Bands	
IHACRES Elevation Bands (Dialog 2)	
IHACRES Elevation Bands Calibration	
IHACRES Input Table	
IHACRES Model Parameters	
IHACRES Model Parameters (Calibration)	
IHACRES Version	
IHACRES Version 1.0	
IHACRES_Basin_output	
Identifier	Bezeichner
If checked the snow module is active	
If checked, it means there is no external inflow to the subbasin	
If checked, snow-melt module is used.	
If checked, then a second output table with all Time Series data is created.	
If checked, then temperature data are used.	
If grid is not set, a new one will be created using chosen width and height.	
If not set points will be removed from the orignal lines layer.	
If not set property attributes will be added to the orignal lines layer.	Falls nichts anderes ausgewählt wird werden die enthaltenen Attribute zur originalen Linienebene zugefügt
If table exists...	
Ignition Points	
Ignore Defaults	
Ignores specified attribute ('Save Attribute') and saves all attributes.	
Image	
Image (Blue Channel)	
Image (Green Channel)	
Image (Red Channel)	
Image File	
Image Files	Bilddateien
Image Grid	
Image Import/Export.	
Image Resolution	Bildauflösung
Image Rotation [Degree]	Bilddrehung [Grad]
Image segmentation algorithms.	
Imagery	Symbolik
Imagery - Classification	Symbolik - Einteilung
Imagery - OpenCV	
Imagery - Segmentation	
Imagery - ViGrA	
Imagery|OpenCV	
Imagery|Segmentation	
Imagery|ViGrA	
Images|*.bmp;*.jpg;*.png;*.tif|HTML Files|*.htm|All Files|*.*	Bilder|*.bmp;*.jpg;*.png;*.tif|HTML Dateien|*.htm|Alle Dateien|*.*
Imaginary	
Import	
Import Atlas Boundary File	
Import Binary Raw Data	
Import DB Table from MySQL	
Import DXF Files	
Import ESRI Arc/Info Grid	
Import ESRI E00 File	
Import Erdas LAN/GIS	
Import Filter	
Import GPS Data	
Import GPX	
Import GRIB2 record	
Import GStat Shapes	
Import Grid from Table	
Import Grid from XYZ	
Import Image (bmp, jpg, png, tif, gif, pnm, xpm)	
Import LAS Files	
Import MOLA Grid (MEGDR)	
Import Point Cloud from File	
Import Point Cloud from Text File	
Import SRTM30 DEM	
Import Scalable Vector Graphics (SVG) File	
Import Shapes from XYZ	
Import Stereo Lithography File (STL)	
Import Surfer Blanking Files	
Import Surfer Grid	
Import Text Table	
Import Text Table (Fixed Column Sizes)	
Import Text Table with Numbers only	
Import USGS SRTM Grid	
Import WASP terrain map file	
Import and export filter for ESRI's E00 file exchange format.	
Import/Export - DXF	
Import/Export - ESRI E00	
Import/Export - GDAL/OGR	
Import/Export - GRIB Files	
Import/Export - Grids	
Import/Export - Images	
Import/Export - LAS	
Import/Export - ODBC/OTL	
Import/Export - Shapes	
Import/Export - Tables	
Import/Export - Tables using MySQL native driver	
Importing	
Importing data ...	
In/Out	Eingabe/Ausgabe
Include Coordinates	
Include diagonal neighbour relations	Einschließlich diagonaler Nachbarbeziehungen
Infiltration excess runoff [m/dt]	
Infiltration rate [m/dt]	
Informe	
Init Fast Representativeness	
Init Generalisation	
Init RGA	
Initial Litter Storage [g/m\xc2\xb2]	
Initial Nitrogen Content [kg/ha]	
Initial Number of Distance Classes	
Initial Number of Fishes [%]	
Initial Number of Sharks [%]	
Initial Threshold for Slope	
Initial root zone storage deficit [m]	
Initial subsurface flow per unit area [m/h]	
Initialisation	Initialisierung
Initialization Value	Initialisierungswert
Initializing ...	
Initializing direction matrix...	
Initiation Grid	
Initiation Threshold	
Initiation Type	
Input	Eingabe
Input File	
Input File's NoData Value	
Input Grid	Eingaberaster
Input Grid 1	Eingaberaster 1
Input Grid 2	Eingaberaster 2
Input Grids	Eingaberaster
Input Specification	
Input file	
Input for module calculations.	
Input format	
Input grid	
Insert Additional Points	Zusätzliche Punkte einfügen
Insert Distance	Entfernung einfügen
Insert Method	Einfügemethode
Insert Position	Einfügeposition
Integer (1 byte)	Ganzzahl (1 Byte)
Integer (2 byte)	Ganzzahl (2 Byte)
Integer (4 byte)	Ganzzahl (4 Byte)
Intensidad	
Intensidad (Kcal/m)	
Intensity	
Intensity (Kcal/m)	
Interactive version (left mouse clicks will trigger the calculation for the selected cell).	
Intercept	
Intercept of the soil line	Achsenabschnit der Bodenlinie
Interior	Inneres
Internal subcatchment routing velocity [m/h]	
Interpolation	Interpolation
Interpolation Method	Interpolationsmethode
Interpolation Steps	Interpolationsschritte
Intersect	Schnittmenge
Intersection	Schnittfläche
Interval	
Interval between points (in grid units).	
Intervalo de tiempo entre capas (min)	
Invalid Buffer Distance	Unzulässige Pufferentfernung
Invalid File Format.	
Invalid Shapes	Unzulässige Vektordatei
Invalid X/Y fields.	
Invalid points layer.	Nicht zulässige Punktebene
Invalid polygon layer.	Nicht zulässige Polygonebene
Invalid shapes layer.	Nicht zulässige Vektorebene
Inverse	
Inverse Distance Interpolation	
Inverse Distance Offset	
Inverse Distance Power	
Inverse Distance Weighted	Inverse Distanzgewichtung
Inverse Distance Weighting Power	
Inverse transformation not available for selected projection type.	
Inversion	Umkehr
Invert	Umkehren
Invert Data/No-Data	Umkehr Daten/No-Data
Invert selection.	Auswahl umkehren.
Is the subbasin upstream (no external inflow)	
Isochrones Constant Speed	
Isochrones Variable Speed	
Iteration	
Iterationen	
Iterations	Iterationen
Iterative Minimum Distance (Forgy 1965)	Iterative Minimalentfernung (Forgy 1965)
JPEG - JFIF Compliant	
JPEG - JFIF Compliant (*.jpg, *.jif, *.jpeg)	
JPG Files	JPG Dateien
Jakeman & Hornberger (1993)	
January	
Johan Van de Wauw (c) 2009	
Join Table	Verbinde mit Tabelle
Join a Table	Verbinde mit Tabelle
Julia	
Julia - X	
Julia - Y	
Julia Set	
July	
June	
Kartoffeln	
Keep Base Level below Surface	
Keep the borders between segments as special values.	Behalte die Grenzen zwischen Segmenten als spezielle Werte.
Kernel	
Kernel Density	
Kernel Density Estimation	
Kind of initializing Precipitation Event	
Kinematic Routing Algorithm	
Kriging - geostatistical procedures for the gridding of irregular distributed point data.	
LAS Files (*.las)|*.las|All Files|*.*	
LENGTH	
LFAC(	
LNG_FILE_DIC	
LS-Factor	
Labels	
Lag Subbasin(	
Lag coefficient	
Lake	
Lake Flood	
Lambert Conformal Conic (1 parallel)	
Lambert Conformal Conic (2 parallel)	
Land Surface Temperature	
Land Surface Temperature [Deg.Celsius]	
Land Use	
Land Use ID	
Landsat	
Language Translations	
Laplace Filter	
Laplacian Filter	Laplace Filter
Last Day	
Lat. of True Scale	
Latitude	
Latitude (user defined reference)	
Latitude 1	
Latitude 2	
Latitude 3	
Latitude B	
Latitude Pole	
Latitude [degree]	
Latitude relates to grid's...	
Layer A	Ebene A
Layer B	Ebene B
Layer of extreme value	Ebene extremer Werte
Layers	Schichten
Layers to merge with main layer	Ebenen, die mit Hauptebene verbunden werden sollen
Layout	Layout
Leading zeros for data set numbering. Set to -1 for not using numbers at all.	
Leaf Area Index	
Leaf Size (for Speed Optimisation)	
Least Cost Path	Weg geringster Kosten
Least Cost Paths	
Least Squares Fitted Plane (Horn 1981, Costa-Cabral & Burgess 1996)	
Least cost path profile line	
Least cost path profile points	
Leaves	
Leaves to Litter	
Lectures - Introducing Module Programming	
Lectures|Introducing Module Programming	
Lee Factor	
Lee Filter	
Lee Filter - Direction	Lee Filter - Richtung
Lee Filter - Standard Deviation	Lee Filter - Standardabweichung
Left	Links
Left Border (X)	
Left Half	
Left/Right	Links/Rechts
Legend: Save	Legende: Speichern
Legend: Zoom	Legende: Vergrößerung
Length	Länge
Less than	Weniger als
Let pixel stay unclassified, if maximum likelihood probability is less than threshold.	Lasse Pixel unklassifiziert, wenn die maximale Wahrscheinlichkeit kleiner ist als der Schwellenwert.
Let pixel stay unclassified, if minimum or mahalanobis distance is greater than threshold.	Lasse Pixel unklassifiziert, wenn das Minimum oder die Mahalanobis-Distanz größer als der Schwellenwert ist.
Let pixel stay unclassified, if spectral angle distance is greater than threshold.	Lasse Pixell unklassifiziert, wenn die spektale Blickwinkelentfernung größer als der Schwellenwert ist.
Level	
Level Aggregation	flache Anhäufung
Level of Detail	Detaillierungsgrad
Level of Generalisation	
Library Overview	Bibliothek-Überblick
Life	
Life Cycle	
Life Cycles	
Lighting and visibility calculations for digital terrain models.	
Line Color	Linienfarbe
Line Endset (Bytes)	
Line Offset (Bytes)	
Line Order	
Line Properties	Linieneigenschaften
Line Simplification	
Line Transect(s)	
Line-Polygon Intersection	
Linear Flow	
Linear Flow Threshold	
Linear Flow Threshold Grid	
Linear Module	
Linear Regression	
Linear: a + b * x	
Lines	Linien
Lines and Points	Linien und Punkte
Lines with Property Attributes added	Linien mit erzeugten Eigenschaftenattributen
List of Grids	
List of Shapes Layers	
Litter to Humus	
Litterfall Rate [g/m\xc2\xb2/a]	
Little Endian (Intel)	
Ln(Area)	
Load Colors	Lade Farben
Load Parameters	Lade Parameter
Load shapefile	
Load shapefile after conversion	
Loading GSTAT-File	
Loam	Lehm
Loamy Sand	lehmiger Sand
Local Cartesian	
Local Maxima	Lokales Maximum
Local Minima	Lokales Minimum
Local Minima and Maxima	Lokale Minima und Maxima
Local Morphometry	
Local Rotation Base Level	Lokale Rotation der Grundlinie
Local Rotation [Degree]	Lokale Rotation [Grad]
Local Sky View Factor	
Local Time (user defined reference)	
Local time relates to grid's...	
Locate STRM30 Data File	
Locate...	
Location	
Location settings to be used, if no latitude/longitude grids are given.	
Logarithmic Transformation	
Logarithmic: a + b * ln(x)	Logarithmisch: a + b * ln(x)
Logo	
Lon. Down	
Long dashed style	lang gestrichelt
Longitude 1	
Longitude 2	
Longitude 3	
Longitude Pole	
Longitude [degree]	
Longitudinal Profile	
Look up table (Points)	
LookUp Table	Nachschlagetabelle
Lookup Table	Nachschlagetabelle
Lookup table used in method \"table\"	
Lookup table used in method \"user supplied table\"	
Lotsa	
Low Value	Unterer Wert
Low value < grid value < high value	Niedriger Wert < Rasterwert < hoher Wert
Low value <= grid value < high value	Niedriger Wert <= Rasterwert < hoher Wert
Low variation for low sizes	
Low-pass 1	
Low-pass 2	
Lower Border (Y)	
Lower Limit of real data	
Lower Tolerance	Untere Toleranz
LowerLimit	
Lumped Atmospheric Transmittance	
Lumped Atmospheric Transmittance [Percent]	
Luv Factor	
M	
MAX	
MAXIMUM	
MDE	
MEAN	MITTELWERT
MFD	
MIN	
MINIMUM	
MOLA Grids (*.img)|*.img|All Files|*.*	
MORAN_I	
MRRTF	
MRVBF	
MS Windows Bitmap (*.bmp)|*.bmp|All Files|*.*	
MSL Height [m]	
Maehweide	
Magnitude	Größenordnung
Mahalanobis Distance	Mahalanobisentfernung
Main Layer	Hauptebene
Main Layer. Output layer will have the same field in the attributes table as this layer	Hauptebene. Auszugebende Ebene hat die gleichen Felder der Attributtabelle wie diese Ebene
Main Radius	
Main channel routing velocity [m/h]	
Majority	
Majority Filter	
Make sure that the files\n	
Mandelbrot	
Mandelbrot Set	
Manhattan	
Manning's N	
Manning's Roughness	
Map	Karte
Map File	
Map Layer	
Map Manager	
Map Units	
Map/Table Size Ratio [%]	Karten/Tabellen Größenverhältnis [%]
Maps	Karten
March	
Mark Highest Neighbour	markiere obersten Nachbarn
Mask	Abdeckung
Mask Grid	
Mask Max	
Mask Min	
Mask value	
Masked Grid	Abgedecktes Raster
Mass Balance Index	
Massivity coef.	
Material	
Matrix signular\n	singulare Matrix\n
Max	
Max Iterations	
Max Lamda	
Max. Distance [km]	
Max. Iterations	
Max. Number of Classes	Max. Anzahl der Klassen
Max. Starvation Time for Sharks	
Max.Distance	Max. Distanz
Maxima	Maxima
Maximal Number of Points	Maximale Anzahl der Punkte
Maximum	
Maximum Cells (C Correction Analysis)	
Maximum Contour Value	Maximaler Isolinienwert
Maximum Deviation between estimated excess rainfall and observed streamflow volumes	
Maximum Deviation: ExcessRain-Streamflow [%]	
Maximum Distance	
Maximum Distance (km)	
Maximum Distance [Cells]	
Maximum Iterations	
Maximum Level	Maximalpegel
Maximum Likelihood	Maximale Wahrscheinlichkeit
Maximum Number of Observations	
Maximum Number of Points	Maximale Anzahl der Punkte
Maximum Overestimation of ExcessRain [%]	
Maximum Points	Maximale Punkte
Maximum Resolution (Percentage)	
Maximum Search Radius	
Maximum Search Radius (cells)	
Maximum Search Radius (map units)	
Maximum Size (Cells)	
Maximum Slope (Travis et al. 1975)	
Maximum Sum of overestimated ExcessRain to total ExcessRain in [%]	
Maximum Triangle Slope (Tarboton 1997)	
Maximum Value	Maximaler Wert
Maximum distance parameter is ignored if set to zero (default).	
Maximum flow distance(m)	
Maximum number of classes in entire grid.	maximale Anzahl der Klassen in vollständigem Raster
Maximum number of classes in the entire grid.	maximale Anzahl der Klassen in vollständigem Raster
Maximum number of grid cells used for trend analysis as required by C correction.	
Maximum resolution as percentage of the diameter of the DEM.	
Maximum root zone storage deficit [m]	
Maximum size	Maximalgröße
Maximum value of the range to be reclassified.	Maximaler Wert des neueinzuteilendes Bereiches
May	
Mean	
Mean Average	
Mean Centre	
Mean Elevation	Mittlere Erhöhung
Mean Elevation [m.a.s.l]	
Mean Value	Mittlerer Wert
Mean Value (cell area weighted)	Mittlerer Wert (Zellbereich gewichtet)
Mean less Standard Deviation	
Mean plus Standard Deviation	
Mean saturation deficit (in watershed) [m]	
Median	
Membership Function Type	
Memberships	Zugehörigkeit
Menu	Menü
Mercator	
Merge Shapes Layers	Verbinde Vektorebenen
Merged Grid	verschmolzenes Raster
Merged Layer	Verbundene Ebene
Merging	Verschmelzen
Method	Methode
Method (LS)	
Method (TWI)	
Method Angle	
Method for Lines	Methode für Linien
Method range	Methodenbereich
Method simple table	Methode einfache Tabelle
Method single	Methode einzeln
Method user supplied table	Methode durch Nutzer gelieferte Tabelle
Mid-Slope Positon	
Miller Cylindrical	
Min	
Min. Flow Speed (m/s)	
Min. Segment Length	
Min. Size	Minimale Größe
Min. Size (Cells)	Minimale Größe (Zellen)
Min./Max. Number of m_Points	
MinDist	
MinDist Region	
MinDistDir	
Mine Sweeper	
Minima	Minima
Minimal Number of Points	Minimale Anzahl der Punkte
Minimum	
Minimum Connectivity	
Minimum Contour Value	Minimaler Isolinienwert
Minimum Density [Percent]	Minimale Dichte [Prozent]
Minimum Density for Interior Forest [Percent]	Minimale Dichte für inneren Wald [Prozent]
Minimum Distance	Minimaldistanz
Minimum Distance Analysis	
Minimum Exaggeration [%]	Minimale Überhöhung [%]
Minimum Nash-Sutcliffe Efficiency	
Minimum Nash-Sutcliffe Efficiency required to print simulation to calibration table	
Minimum Number of Observations	
Minimum Segment Length (Cells)	
Minimum Size (Cells)	
Minimum Size [%]	
Minimum Slope [Degree]	
Minimum Standard Deviation	Minimum Standardabweichung
Minimum Value	minimaler Wert
Minimum size	Minimalgröße
Minimum size of basin (cells)	
Minimum slope gradient to preserve from cell to cell; with a value of zero sinks are filled up to the spill elevation (which results in flat areas). Unit [Degree]	
